dataset,repetition,method,group,n,ks_to_marginal
cps_wage,1,SR-TI,1,1948,0.0791186413018383
cps_wage,1,SR-TI,2,1948,0.036629067954938
cps_wage,1,SR-TI,3,1948,0.0091704577775632
cps_wage,1,SR-TI,4,1948,0.0416159504336278
cps_wage,1,SR-TI,5,1947,0.0729705825380912
cps_wage,1,ASR-TI,1,1948,0.0796364160017946
cps_wage,1,ASR-TI,2,1948,0.0351919703860071
cps_wage,1,ASR-TI,3,1948,0.00952361775819099
cps_wage,1,ASR-TI,4,1948,0.0419240956943368
cps_wage,1,ASR-TI,5,1947,0.0734882012725246
cps_wage,1,CQR-TI,1,1948,0.0782549806626462
cps_wage,1,CQR-TI,2,1948,0.0175626458366233
cps_wage,1,CQR-TI,3,1948,0.0102512327391742
cps_wage,1,CQR-TI,4,1948,0.0244977063577019
cps_wage,1,CQR-TI,5,1947,0.070322104408366
cps_wage,2,SR-TI,1,1948,0.0513885723333839
cps_wage,2,SR-TI,2,1948,0.0332299294966173
cps_wage,2,SR-TI,3,1948,0.00943907020461984
cps_wage,2,SR-TI,4,1948,0.0157364924741081
cps_wage,2,SR-TI,5,1947,0.0781075331693936
cps_wage,2,ASR-TI,1,1948,0.0523092656739252
cps_wage,2,ASR-TI,2,1948,0.0337567703930913
cps_wage,2,ASR-TI,3,1948,0.00961470140692611
cps_wage,2,ASR-TI,4,1948,0.015325930819017
cps_wage,2,ASR-TI,5,1947,0.0799737029642651
cps_wage,2,CQR-TI,1,1948,0.10084477975784
cps_wage,2,CQR-TI,2,1948,0.0425222538227196
cps_wage,2,CQR-TI,3,1948,0.0221845611950343
cps_wage,2,CQR-TI,4,1948,0.0330475513573678
cps_wage,2,CQR-TI,5,1947,0.109474806575925
cps_wage,3,SR-TI,1,1948,0.072145840102233
cps_wage,3,SR-TI,2,1948,0.0269285539437638
cps_wage,3,SR-TI,3,1948,0.0142893799206518
cps_wage,3,SR-TI,4,1948,0.0268634038339047
