dataset,method,mean_min_group_coverage,worst_group_coverage,mean_max_abs_gap
cps_wage,SR-TI,0.877746406570842,0.853182751540041,0.0466475275498872
cps_wage,ASR-TI,0.878388090349076,0.852669404517454,0.0469557071427743
cps_wage,CQR-TI,0.904276731748628,0.88911704312115,0.0226009925236424
cps_wage,Parametric-TI,0.919805637378202,0.900359527478172,0.04838295687885
superconductivity,SR-TI,0.804478138222849,0.693935119887165,0.0983524112305442
superconductivity,ASR-TI,0.804654442877292,0.692524682651622,0.0987778815173
superconductivity,CQR-TI,0.882718187274612,0.86803105151729,0.0440409026798306
superconductivity,Parametric-TI,0.72484121383204,0.68666196189132,0.17515878616796
meps_expenditure,SR-TI,0.867049808429119,0.78639846743295,0.0819061302681993
meps_expenditure,ASR-TI,0.862404214559387,0.78639846743295,0.0753448275862068
meps_expenditure,CQR-TI,0.90110153256705,0.885057471264368,0.0384578544061302
meps_expenditure,Parametric-TI,0.83860153256705,0.810344827586207,0.0682662835249043
meps_utilization,SR-TI,0.896455938697318,0.853448275862069,0.0388026819923371
meps_utilization,ASR-TI,0.893869731800766,0.846743295019157,0.040383141762452
meps_utilization,CQR-TI,0.907950191570881,0.877394636015326,0.0521551724137931
meps_utilization,Parametric-TI,0.837835249042146,0.811302681992337,0.0706034482758621
