dataset,method,mean_ks,q90_ks,max_ks
cps_wage,SR-TI,0.0474622888829093,0.0901207283072264,0.106148229445961
cps_wage,ASR-TI,0.0474497161753494,0.0904800682369244,0.106968192368322
cps_wage,CQR-TI,0.0627426789306847,0.114674451096988,0.14982380659085
superconductivity,SR-TI,0.0662390828076762,0.121465834053076,0.223964361241447
superconductivity,ASR-TI,0.0660951586323008,0.117744709069714,0.223258247297458
superconductivity,CQR-TI,0.23486672275645,0.378317636275117,0.410081094669606
meps_expenditure,SR-TI,0.0652318007662835,0.100785440613027,0.150191570881226
meps_expenditure,ASR-TI,0.0650402298850575,0.0958429118773946,0.137931034482759
meps_expenditure,CQR-TI,0.097647509578544,0.169540229885057,0.228352490421456
meps_utilization,SR-TI,0.0409310344827586,0.0634865900383142,0.0877394636015325
meps_utilization,ASR-TI,0.0414501915708812,0.0637164750957853,0.0938697318007663
meps_utilization,CQR-TI,0.122509578544061,0.242375478927203,0.295785440613027
